Aeiaa Avaeril11
Zermog Spud5
Zero Memoriate1
Zerowolf Exe10
Ziena Menphro7
Zihawk Lanbatal11
Zuri Drogo11
Alexi Layhoo2
Archemy Rand4
Azure Phantasma9
Blank Dream9
Dante Lightbringer2
Daren Takashi11
Drizara Colazza4
Glen Du'lac1
Hellyanna Firestarter0
Humility Conundrum10
Ighii'ra Jinjahl9
Jakuri Mir9
Kaysa Lyreni3
Lelouch Vi-britania10
Lesley Aristocrat9
Lethal Weapon9
Milo Finnerton6
Papika Asuri2
Qoriee Menaag1
Raphael Chevalier11
Sam Bartolotto3
Samantha Hunters9
Sliver Bane1
Therin El'dracon10
Vesu Vi'us11
Xhell Raiserx9
Yazhi Sahkyo2
Aanya Seiko9
Aly Kat9
Cornell Valeth4
Echo Darkblood9
Erra Hadran11
Fable Haven1
Fog Be1
Haku Whiskycat11
Ivona Black9
Sakura Kuromi9
Ayla Candally10
Cdn Bacon3
Deyla Nadaki9
Korvid Bitterleaf10
Lyon Benjudah10
Lyssa Maynvel11
Muffin Man10
Pat Pahlo0
Rune Balefire9
Ver'i Tuff9
